datetime,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,date,year,month,dayofmonth,quarter,dayofyear,weekofyear,dayofweek,Diff1,Diff2,Diff1_r,d_24,exp_0_05,exp_0_03,exp_0_08
2004-03-10 18:00:00,2.6,1360.0,150.0,11.9,1046.0,166.0,1056.0,113.0,1692.0,1268.0,13.6,48.9,0.7578,2004-03-10 18:00:00,2004,3,10,1,70,11,2,,,,,11.9,11.9,11.9
2004-03-10 19:00:00,2.0,1292.0,112.0,9.4,955.0,103.0,1174.0,92.0,1559.0,972.0,13.3,47.7,0.7255,2004-03-10 19:00:00,2004,3,10,1,70,11,2,-2.5,,-0.26595744680851063,,11.775,11.825,11.700000000000001
2004-03-10 20:00:00,2.2,1402.0,88.0,9.0,939.0,131.0,1140.0,114.0,1555.0,1074.0,11.9,54.0,0.7502,2004-03-10 20:00:00,2004,3,10,1,70,11,2,-0.40000000000000036,2.0999999999999996,-0.04444444444444448,,11.636249999999999,11.740249999999998,11.484000000000002
2004-03-10 21:00:00,2.2,1376.0,80.0,9.2,948.0,172.0,1092.0,122.0,1584.0,1203.0,11.0,60.0,0.7867,2004-03-10 21:00:00,2004,3,10,1,70,11,2,0.1999999999999993,0.5999999999999996,0.021739130434782532,,11.5144375,11.664042499999997,11.301280000000002
2004-03-10 22:00:00,1.6,1272.0,51.0,6.5,836.0,131.0,1205.0,116.0,1490.0,1110.0,11.2,59.6,0.7888,2004-03-10 22:00:00,2004,3,10,1,70,11,2,-2.6999999999999993,-2.8999999999999986,-0.4153846153846153,,11.263715624999998,11.509121224999998,10.917177600000002
2004-03-10 23:00:00,1.2,1197.0,38.0,4.7,750.0,89.0,1337.0,96.0,1393.0,949.0,11.2,59.2,0.7848,2004-03-10 23:00:00,2004,3,10,1,70,11,2,-1.7999999999999998,0.8999999999999995,-0.38297872340425526,,10.935529843749997,11.304847588249997,10.419803392000002
2004-03-11 00:00:00,1.2,1185.0,31.0,3.6,690.0,62.0,1462.0,77.0,1333.0,733.0,11.3,56.8,0.7603,2004-03-11 00:00:00,2004,3,11,1,71,11,3,-1.1,0.6999999999999997,-0.3055555555555556,,10.568753351562496,11.073702160602497,9.874219120640003
2004-03-11 01:00:00,1.0,1136.0,31.0,3.3,672.0,62.0,1453.0,76.0,1333.0,730.0,10.7,60.0,0.7702,2004-03-11 01:00:00,2004,3,11,1,71,11,3,-0.30000000000000027,0.7999999999999998,-0.090909090909091,,10.20531568398437,10.840491095784422,9.348281590988803
2004-03-11 02:00:00,0.9,1094.0,24.0,2.3,609.0,45.0,1579.0,60.0,1276.0,620.0,10.7,59.7,0.7648,2004-03-11 02:00:00,2004,3,11,1,71,11,3,-1.0,-0.6999999999999997,-0.4347826086956522,,9.81004989978515,10.58427636291089,8.784419063709699
2004-03-11 03:00:00,0.6,1010.0,19.0,1.7,561.0,0.8989431559593744,1705.0,0.8989431559593744,1235.0,501.0,10.3,60.2,0.7517,2004-03-11 03:00:00,2004,3,11,1,71,11,3,-0.5999999999999999,0.40000000000000013,-0.35294117647058815,,9.404547404795894,10.317748072023562,8.217665538612922
